speaker_id;filename;class_name;filepath;target
LA_0032;LA_E_6834922;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_6834922.flac;1
LA_0015;LA_E_2797984;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_2797984.flac;0
LA_0043;LA_E_4957204;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_4957204.flac;1
LA_0017;LA_E_7932808;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_7932808.flac;1
LA_0071;LA_D_6178956;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_dev\flac\LA_D_6178956.flac;0
LA_0041;LA_E_2394889;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_2394889.flac;0
LA_0044;LA_E_7625255;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_7625255.flac;1
LA_0100;LA_D_4137927;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_dev\flac\LA_D_4137927.flac;0
LA_0004;LA_E_8001771;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_8001771.flac;1
LA_0012;LA_E_8677439;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_8677439.flac;0
LA_0030;LA_E_1115388;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_1115388.flac;0
LA_0014;LA_E_1076348;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_1076348.flac;1
LA_0003;LA_E_8264147;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_8264147.flac;1
LA_0074;LA_D_5932613;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_dev\flac\LA_D_5932613.flac;0
LA_0098;LA_T_9775568;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_train\flac\LA_T_9775568.flac;1
LA_0022;LA_E_7913626;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_7913626.flac;0
LA_0087;LA_T_7750406;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_train\flac\LA_T_7750406.flac;0
LA_0040;LA_E_8865287;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_8865287.flac;1
LA_0047;LA_E_4843220;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_4843220.flac;0
LA_0002;LA_E_9860708;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_9860708.flac;1
LA_0081;LA_T_8140876;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_train\flac\LA_T_8140876.flac;0
LA_0071;LA_D_5502506;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_dev\flac\LA_D_5502506.flac;0
LA_0077;LA_D_4511459;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_dev\flac\LA_D_4511459.flac;1
LA_0083;LA_T_3159053;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_train\flac\LA_T_3159053.flac;1
LA_0008;LA_E_1511215;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_1511215.flac;0
LA_0040;LA_E_5389379;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_5389379.flac;1
LA_0013;LA_E_3283467;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_3283467.flac;1
LA_0027;LA_E_3109345;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_3109345.flac;0
LA_0033;LA_E_1857552;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_1857552.flac;1
LA_0027;LA_E_2773965;bonafide;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_eval\flac\LA_E_2773965.flac;0
LA_0082;LA_T_5676133;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_train\flac\LA_T_5676133.flac;1
LA_0078;LA_D_5920016;spoof;D:\sem 7\Bismillah Skripsi\Voice Recog\Data\ASVSPOOF 2019\LA\ASVspoof2019_LA_dev\flac\LA_D_5920016.flac;1
